,id,name,amount,asset,created_at,watching
1,85a58b09-a87f-49b9-8e7a-611047dc2130,decypher,397.0,HNS,2023-06-14T16:01:48.192Z,False
2,477c42cb-6318-4ea4-a8b7-f5b0f0ba809b,xn--honey-y274d,1e-05,HNS,2023-06-14T15:25:20.279Z,False
3,87062616-9c2f-42b7-912e-0cc7762107be,centrus,120.0,HNS,2023-06-14T15:07:12.350Z,False
4,e20eb8ec-7b0e-48e8-b704-3cfa2fe7b7ff,mbbc,295.0,HNS,2023-06-14T14:37:41.320Z,False
5,d9f723ae-5fbf-4034-b5eb-606c8c360672,inoac,185.0,HNS,2023-06-14T14:18:22.863Z,False
6,6ce5ff86-0077-44af-99af-ea73bd5bee6f,xn--xp7daa,65.0,HNS,2023-06-14T14:18:05.379Z,False
7,29fe8761-3bb0-4ee6-be27-139e2e2a403c,greensboroswarm,199.0,HNS,2023-06-14T14:09:00.518Z,False
8,382d929c-126f-4b7f-a42c-467cc5a97484,motorcitycruise,199.0,HNS,2023-06-14T14:08:54.093Z,False
9,ad0feaac-7422-4acb-89bb-e70099194121,memphishustle,199.0,HNS,2023-06-14T14:08:51.703Z,False
10,cb364408-5ec3-4d9b-8f98-1f36dc3b4287,jackygu,100.0,HNS,2023-06-14T13:40:17.664Z,False
11,1475d4a4-c04b-4e89-8d73-614b84a3ba43,callofbooty,69.0,HNS,2023-06-14T13:40:15.434Z,False
12,601cae36-9c2d-4786-83d4-4061d8d85534,snorkeling,1000.0,HNS,2023-06-14T13:33:46.674Z,False
13,9dba4026-bd1b-496b-95c2-42b3946293d3,rzy,1499.0,HNS,2023-06-14T13:11:50.528Z,False
14,b93d9dbd-45f7-4028-afc7-15f2945f45a6,judokas,95.0,HNS,2023-06-14T13:10:23.422Z,False
15,2aa6228d-9adc-43ac-9579-b56636f97dc1,ufcmma,105.0,HNS,2023-06-14T13:09:16.752Z,False
16,78d21cf5-b5c5-4ac1-a2ce-09e87385b918,goleafsgo,399.0,HNS,2023-06-14T13:06:37.855Z,False
17,122c55a1-9b32-4822-96ce-142766a3791d,techforge,10.0,HNS,2023-06-14T13:03:45.489Z,False
18,6e134777-1241-4f8e-9ad8-a93ab0874004,machinetech,10.0,HNS,2023-06-14T13:03:00.507Z,False
19,9d7253d9-c813-43b2-8789-1ac9bb51967a,roadietech,1.0,HNS,2023-06-14T13:02:19.008Z,False
20,bac8fa5b-5d1a-4c45-856d-c186e03a88bd,healthpermit,1.0,HNS,2023-06-14T12:56:26.131Z,False
21,b69113bc-32b0-4fdd-83d0-14dcb9001c5e,curbstop,1.0,HNS,2023-06-14T12:56:16.593Z,False
